name,developer,positive_ratings,negative_ratings,average_playtime,price,category
Team Fortress Classic,Valve,3318,633,277,3.99,Multi-player
Day of Defeat,Valve,3416,398,187,3.99,Multi-player
Deathmatch Classic,Valve,1273,267,258,3.99,Multi-player
Ricochet,Valve,2758,684,175,3.99,Multi-player
Portal,Valve,51801,1080,288,7.19,Single-player
Left 4 Dead,Valve,17951,948,897,7.19,Single and Multi-player
Left 4 Dead 2,Valve,251789,8418,1615,7.19,Single and Multi-player
Alien Swarm,Valve,17435,941,371,0.0,Single and Multi-player
Killing Floor,Tripwire Interactive,53710,2649,1328,14.99,Single and Multi-player
Quake III Arena,id Software,1362,66,123,12.99,Single and Multi-player
Wolfenstein 3D,id Software,1773,87,69,2.99,Single-player
Ultimate Doom,id Software,3705,257,125,3.99,Single-player
Final DOOM,id Software,573,82,120,3.99,Single-player
DOOM II,id Software,2517,182,90,3.99,Single and Multi-player
QUAKE,id Software,2618,136,167,3.99,Single and Multi-player
QUAKE II,id Software,1369,107,291,3.99,Single and Multi-player
Shadowgrounds,Frozenbyte,973,248,186,3.99,Single-player
Alpha Prime,Black Element,610,523,0,2.99,Single-player
Painkiller Overdose,Mindware Studios,429,137,270,4.49,Single and Multi-player
Sniper Elite,Rebellion,1181,377,262,5.59,Single-player
Aliens versus Predator Classic 2000,Rebellion,1434,219,20,3.99,Single and Multi-player
Advent Rising,GlyphX Games,260,71,0,7.19,Single-player
BloodRayne,Terminal Reality,369,110,111,6.99,Single-player
BloodRayne 2,Terminal Reality,259,103,771,6.99,Single-player
Psychonauts,Double Fine Productions,8204,456,491,6.99,Single-player
Just Cause,Avalanche Studios,1732,846,20,4.99,Single-player
Rogue Trooper,Rebellion,248,15,0,6.99,Single and Multi-player
NecroVision,The Farm 51,539,270,113,3.99,Single and Multi-player
Spear of Destiny,id Software,200,36,0,2.49,Single-player
Return to Castle Wolfenstein,Gray Matter Studios,3084,276,32,3.99,Single and Multi-player
DOOM 3,id Software,2633,376,362,0.0,Single and Multi-player
HeXen II,Raven Software,173,39,10,2.99,Single and Multi-player
Master Levels for Doom II,id Software,310,69,7,0.0,Single-player
Commander Keen,id Software,737,51,145,2.99,Single-player
